index,dates,shiftFactor,population,storage,storage_perc,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
34,10,1,3.72608,176162.121252421,199.482491672046,199.482491672046,97.9082812821818,96.8634035474312,segment1,66.3518236947603,152911.009100643,54214.0448747171,51570.1855987808,segment1,36024.1040131046,79338.8429752066,45305.7851239669,44592.8059895183,segment1,30154.3272370375,4818.74268161362,5636.94762438165,5632.64463278472,segment1,6085.70862594098,3.31806189602912,-0.198299250088412,-0.196908127037684,segment1,-1.70538395905003
35,11,1,3.73872,113690.397216036,60.6564382578581,60.6564382578581,97.7587384161152,99.1195780002016,segment1,66.3518236947603,2239.41471415867,50620.1682481265,52427.2280521056,segment1,36024.1040131046,59504.1322314049,45057.8512396694,46112.5394920773,segment1,30154.3272370375,5207.00651913845,5629.61129818714,5635.79339751204,segment1,6085.70862594098,-1.50066185251239,-0.203398226984285,-0.128292557593765,segment1,-1.70538395905003
36,12,1,3.75139,148005.944699582,136.913210443516,136.913210443516,99.2243761431135,99.1009232927239,segment1,66.3518236947603,101441.102384248,51850.7727340021,52005.4256787726,segment1,36024.1040131046,61487.6033057851,45553.7190082645,46136.8592761999,segment1,30154.3272370375,5637.95159491743,5637.51674858847,5620.50718046904,segment1,6085.70862594098,1.28212549091046,-0.145359904915656,-0.148137480083206,segment1,-1.70538395905003
37,1,1,3.76436,111694.028020234,56.2200622671869,56.2200622671869,100.309234380023,99.0822685852463,segment1,66.3518236947603,30814.2522443419,50867.9921590515,51583.6233054395,segment1,36024.1040131046,61487.6033057851,44809.9173553719,46161.1790603225,segment1,30154.3272370375,5638.56561790523,5569.88859707061,5605.22096342605,segment1,6085.70862594098,-1.68460205121295,-0.102083020695068,-0.167982402572648,segment1,-1.70538395905003
38,2,1,3.77752,112222.862754838,57.3952505663061,57.3952505663061,100.256266949261,97.1666968379467,segment1,66.3518236947603,61183.9374247434,49309.8658491541,49450.4832157381,segment1,36024.1040131046,55537.1900826446,43809.9173553719,44491.2771809045,segment1,30154.3272370375,5117.91260749529,5523.78383762512,5598.5514057957,segment1,6085.70862594098,-1.63569474199227,-0.104136375609161,-0.245952889920702,segment1,-1.70538395905003
39,3,1,3.79019,191037.945321534,232.539878492297,232.539878492297,100.749226947727,95.2511250906471,segment1,66.3518236947603,179028.381975269,50084.5442308623,47317.3431260367,segment1,36024.1040131046,95206.611570248,44297.520661157,42821.3753014864,segment1,30154.3272370375,5006.68783832565,5565.19157039599,5591.88184816536,segment1,6085.70862594098,4.33331832688361,-0.0841863119528305,-0.323923377268757,segment1,-1.70538395905003
40,4,1,3.80322,132012.810648771,101.372912552825,101.372912552825,94.7731870621932,92.271099707245,segment1,66.3518236947603,5613.31175350836,44245.2768810388,44261.111721097,segment1,36024.1040131046,59504.1322314049,41322.3140495868,39911.5036540552,segment1,30154.3272370375,5134.31419486609,5612.18077994218,5591.21456250299,segment1,6085.70862594098,0.0398275968064468,-0.292912470254189,-0.42068543364245,segment1,-1.70538395905003
41,5,1,3.81647,121947.861345922,79.0063585464932,79.0063585464932,87.5929648167632,89.2910743238429,segment1,66.3518236947603,3864.82065614687,38420.4491378293,41204.8803161573,segment1,36024.1040131046,5950.4132231405,36016.5289256198,37001.6320066239,segment1,30154.3272370375,7979.35673585568,5635.02022265302,5590.54727684062,segment1,6085.70862594098,-0.789302089427792,-0.551723964338213,-0.517447490016143,segment1,-1.70538395905003
42,6,1,3.82955,123386.208150907,82.2026847797943,82.2026847797943,82.9196765971495,85.9566409713166,segment1,66.3518236947603,30466.4938710557,37134.4706679329,38124.9432746611,segment1,36024.1040131046,23801.652892562,33603.305785124,34001.7280266804,segment1,30154.3272370375,5226.49417350823,5634.14458163514,5594.56896804409,segment1,6085.70862594098,-0.665392130349119,-0.72987139944028,-0.61899437254486,segment1,-1.70538395905003
43,7,1,3.84232,120898.953915514,76.675453145587,76.675453145587,78.7632573309912,82.6222076187903,segment1,66.3518236947603,9522.99956863066,35703.9797134381,35045.0062331649,segment1,36024.1040131046,5950.4132231405,31950.4132231405,31001.824046737,segment1,30154.3272370375,6059.84058088345,5623.95516006893,5598.59065924756,segment1,6085.70862594098,-0.879662826023889,-0.88653712706807,-0.720541255073577,segment1,-1.70538395905003
