index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor,inflow,deficit
87,4,94847.67823944039,134438.67610143396,59504.132231404925,7958.120759408241,251.73532001784463,443235.0,1.0,0.0,0.0
88,5,15696.146654893528,116141.99543871339,23801.652892561982,10191.174425052095,250.21053716735992,444520.0,1.0,0.0,0.0
89,6,1841.6041547773689,106287.24474226004,5950.413223140496,5745.941628090222,249.3153717508795,445850.0,1.0,0.0,0.0
90,7,8689.438592602459,100536.81899343072,6148.760330578512,8291.104010853254,248.76890441694042,447150.0,1.0,0.0,0.0
91,8,524.6769032979207,88644.73975484869,6148.760330578512,6267.9958113014345,247.55703995645408,448440.0,1.0,0.0,0.0
92,9,2220.6689490744343,79297.57589770824,5950.413223140496,5617.419583074392,246.511065274404,449735.0,1.0,0.0,0.0
93,10,17017.32882476601,86603.4214713911,3689.256198347107,6022.227052736043,247.33763773338254,451000.0,1.0,0.0,0.0
94,11,40209.48747989416,107554.01256350537,13884.297520661159,5374.5988671187015,249.43252405100392,452279.0,1.0,0.0,0.0
95,12,69646.85672991343,109578.76766955268,61487.603305785095,6134.498318081156,249.61977597979768,453556.0,1.0,0.0,0.0
96,1,14957.609784972548,108484.63562632797,9917.355371900827,6134.386456296411,249.51858925611094,454879.0,1.0,0.0,0.0
97,2,133291.59617032527,169975.9477495224,65454.54545454541,6345.738592585577,254.3815859556567,456157.0,1.0,0.0,0.0
98,3,32400.22185122938,134116.32374284934,61487.603305785095,6772.242552117616,251.7093427143887,457458.0,1.0,0.0,0.0
99,4,13119.439068303542,106994.07083706882,33719.00826446282,6522.683709621265,249.38073992759357,458747.0,1.0,0.0,0.0
100,5,-2523.380923228059,89793.22500265227,6148.760330578512,8528.704580609989,247.6804799014029,460040.0,1.0,0.0,0.0
101,6,24588.770682842423,102842.13820541088,5950.413223140496,5589.444256943338,248.99676391430785,461318.0,1.0,0.0,0.0
102,7,10967.30517171618,100520.1736238575,6148.760330578512,7140.509422691049,248.76725570759285,462641.0,1.0,0.0,0.0
103,8,10239.58215004074,98785.23900472336,6148.760330578512,5825.7564385963615,248.59541194579273,463944.0,1.0,0.0,0.0
104,9,4780.048128281386,90986.37733311151,5950.413223140496,6628.496576752757,247.80872069358463,465258.0,1.0,0.0,0.0
105,10,52560.65070917332,108153.54147926057,29752.06611570249,5641.420447321807,249.4879692480589,466587.0,1.0,0.0,0.0
106,11,40921.73933347173,107872.61945180078,35702.47933884298,5500.182022088593,249.46198922147425,467939.0,1.0,0.0,0.0
107,12,52406.38886394889,108991.06418769156,45619.8347107438,5668.109417314427,249.5654244139176,469227.0,1.0,0.0,0.0
108,1,95859.97207615024,137288.84041072146,61487.603305785095,6074.592547335516,251.9650052712323,470482.0,1.0,0.0,0.0
109,2,54696.90759159272,130037.7869742262,55537.19008264461,6410.770945443625,251.38066701379856,471826.0,1.0,0.0,0.0
110,3,31675.1355282405,106105.84735556992,47603.305785123965,8003.769361772922,249.29859588972252,473128.0,1.0,0.0,0.0
111,4,7902.157152434587,104066.12907299133,3570.2479338842977,6371.6275011289,249.10996014732189,474402.0,1.0,0.0,0.0
112,5,57581.55919864018,120157.08861341958,35702.479338842975,5788.120319368977,250.55642734436765,475685.0,1.0,0.0,0.0
113,6,10894.76558983415,116092.02702844502,5950.413223140496,9009.413951668208,250.20623251451116,476985.0,1.0,0.0,0.0
114,7,8794.061842849333,113004.2514843107,6148.760330578512,5733.077056405131,249.93656908205963,478306.0,1.0,0.0,0.0
115,8,6234.115438804946,105939.82171057783,6148.760330578512,7149.784881959316,249.28324162679905,479635.0,1.0,0.0,0.0
116,9,3773.067071312891,97287.97449340114,5950.413223140496,6474.501065349077,248.4471092010104,480906.0,1.0,0.0,0.0
117,10,29972.395589441836,106799.73563292023,13884.297520661159,6576.336929261552,249.3627675606141,482225.0,1.0,0.0,0.0
118,11,14712.726851549516,107303.08916891592,7933.884297520661,6275.489018033153,249.40931833616162,483517.0,1.0,0.0,0.0
119,12,20463.77661927377,107091.38810148381,13884.297520661159,6791.1801660447145,249.38973995204688,484855.0,1.0,0.0,0.0
120,1,135813.51299018212,165539.806068429,71404.95867768592,5960.136345551182,254.0685864720545,486149.0,1.0,0.0,0.0
121,2,21900.154180034428,126639.60843754312,55537.19008264461,5263.161728275976,251.10681911818386,487460.0,1.0,0.0,0.0
122,3,31634.11753181319,107254.24276110387,43636.36363636363,7383.11957188889,249.40480095820809,488812.0,1.0,0.0,0.0
123,4,16634.7195964993,108195.38962826226,9917.355371900827,5776.217357440029,249.4918394181321,490153.0,1.0,0.0,0.0
124,5,2988.551940751051,98657.2104342035,6148.760330578512,6377.970804231335,248.58273082747658,491501.0,1.0,0.0,0.0
125,6,12028.299972034367,98706.57030717924,5950.413223140496,6028.526875918138,248.58761987987117,492804.0,1.0,0.0,0.0
126,7,16043.569948939788,102284.13962704073,6148.760330578512,6317.240298499778,248.94197500267842,494080.0,1.0,0.0,0.0
127,8,14835.615903249824,99613.91756099435,6148.760330578512,11357.077638717681,248.67749183448836,495389.0,1.0,0.0,0.0
128,9,41938.09329532045,123019.63309720634,11900.826446280991,6631.5513128274415,250.80302835089645,496658.0,1.0,0.0,0.0
129,10,34830.571372153885,107324.41842449004,43636.36363636363,6889.422408506652,249.41129089285948,498038.0,1.0,0.0,0.0
130,11,15309.069252054273,108478.93254607594,7933.884297520661,6220.670832947701,249.51806182799183,499395.0,1.0,0.0,0.0
131,12,68920.64640421883,109175.02414901713,61487.603305785095,6736.95149549271,249.58243726523787,500692.0,1.0,0.0,0.0
132,1,70317.18377127584,111584.28393053994,61487.603305785095,6420.320683968125,249.80524867571808,502024.0,1.0,0.0,0.0
133,2,52524.2343611449,109130.70458566713,49586.77685950412,5391.036846513709,249.57833853562082,503383.0,1.0,0.0,0.0
134,3,31392.125963026727,107643.11419925145,25785.12396694216,7094.592382500282,249.44076428366333,504750.0,1.0,0.0,0.0
135,4,8627.011152563487,107528.77765983158,1983.4710743801647,6757.87661760316,249.4301902949997,506078.0,1.0,0.0,0.0
136,5,116.05193416163195,91121.3718660065,6148.760330578512,10374.69739740819,247.82322999419674,507400.0,1.0,0.0,0.0
137,6,1974.1672118353256,80732.4051810893,5950.413223140496,6412.720673612042,246.6798488626149,508795.0,1.0,0.0,0.0
138,7,24076.45067870274,90266.88972253086,6148.760330578512,8393.205806682661,247.73138969502696,510116.0,1.0,0.0,0.0
139,8,-1181.7854943127566,76259.99977133879,6148.760330578512,6676.344126300812,246.15374541481458,511430.0,1.0,0.0,0.0
140,9,9962.971752554744,74189.52159111686,5950.413223140496,6083.036709636164,245.90318254524846,512816.0,1.0,0.0,0.0
141,10,10.606052608235077,63414.293492393896,3689.256198347107,7096.577952984078,244.49030585409642,514150.0,1.0,0.0,0.0
142,11,1656.836426645631,53656.79959388318,3570.2479338842977,7844.082391272059,243.03601904080776,515503.0,1.0,0.0,0.0
143,12,81106.35907987153,106299.994642294,21818.181818181823,6644.982213278823,249.3165508778594,516829.0,1.0,0.0,0.0
144,1,14457.83641652895,108343.97021628488,5950.413223140496,6463.447619397583,249.5055803399875,518161.0,1.0,0.0,0.0
145,2,19688.38793283042,107437.85718147206,13884.297520661159,6710.2034469820055,249.42178185346086,519574.0,1.0,0.0,0.0
146,3,105924.68749092991,144952.68877024765,61487.603305785095,6922.252596369522,252.54972665323854,520889.0,1.0,0.0,0.0
147,4,95217.83881892511,165833.4840870527,67438.01652892558,6899.026973194665,254.08930742165046,522253.0,1.0,0.0,0.0
148,5,33862.71028186683,111276.94487582053,71404.95867768595,17014.29081541309,249.77682556883568,523634.0,1.0,0.0,0.0
149,6,-3.6705372690013904,94626.16869826787,5950.413223140496,10696.692417143126,248.18345965711845,524958.0,1.0,0.0,0.0
150,7,8229.183161405406,87678.14418387813,6148.760330578512,9028.447345216644,247.45314963283298,526295.0,1.0,0.0,0.0
151,8,11511.058532811408,85795.31932798357,6148.760330578512,7245.123058127443,247.2507823869286,527614.0,1.0,0.0,0.0
152,9,903.4017036270498,74710.06381464549,5950.413223140496,6038.243993824653,245.96979063527127,528938.0,1.0,0.0,0.0
153,10,14316.167086801917,78683.68281622666,3689.256198347107,6653.291886873629,246.43885105472611,530256.0,1.0,0.0,0.0
154,11,42602.956322252365,107070.21058810805,7933.884297520661,6282.544252850305,249.3877814286607,531532.0,1.0,0.0,0.0
155,12,92275.91450515967,130911.16713290045,61487.603305785095,6947.354654582491,251.45104981327262,532907.0,1.0,0.0,0.0
156,1,141480.44905330762,180950.0023183117,85289.25619834714,6152.357669549427,255.14938998768216,534235.0,1.0,0.0,0.0
157,2,36128.70222596977,154909.1610329237,55537.19008264461,6632.353428713371,253.29478201716148,535626.0,1.0,0.0,0.0
158,3,8560.233093985991,106387.10682704645,49586.77685950412,7495.510440359246,249.32460712355928,536980.0,1.0,0.0,0.0
159,4,20353.559161913392,108230.86073208523,11900.826446280991,6608.97881059358,249.49511983095212,538330.0,1.0,0.0,0.0
160,5,11540.413580627355,106891.3209848166,6148.760330578512,6731.192997317487,249.3712374905037,539638.0,1.0,0.0,0.0
161,6,1613.896061814551,96035.94589693016,5950.413223140496,6518.857926560489,248.32309685983856,541008.0,1.0,0.0,0.0
162,7,30800.22542014607,114471.58168204712,6148.760330578512,6215.829304450586,250.06663522415985,542304.0,1.0,0.0,0.0
163,8,6540.3207972049095,108636.33404078912,6148.760330578512,6226.808107884411,249.53261851852298,543610.0,1.0,0.0,0.0
164,9,2428.373469390898,97965.97366886944,5950.413223140496,7148.320618170073,248.51426442837456,544953.0,1.0,0.0,0.0
165,10,3816.390827763103,91469.06414937203,3689.256198347107,6624.044148913398,247.86060018802365,546324.0,1.0,0.0,0.0
166,11,113045.00417465527,138354.14104206953,59504.132231404925,6655.795050553122,252.04747762536687,547706.0,1.0,0.0,0.0
167,12,8197.905063041682,107999.60441161481,31735.53719008265,6816.9045034138135,249.47373295215158,549058.0,1.0,0.0,0.0
168,1,27210.285096628,106635.13357384241,21818.181818181823,6756.574116218545,249.3475449527275,550387.0,1.0,0.0,0.0
169,2,73254.0359375691,117241.1572206026,55537.19008264461,7110.822208164514,250.30522718992097,551754.0,1.0,0.0,0.0
170,3,57391.00667814782,105857.48210074648,61487.603305785095,7287.078492218988,249.2756267549012,553063.0,1.0,0.0,0.0
171,4,59739.16617231209,105123.57747288623,51570.247933884275,8902.822866288177,249.20775432099202,554399.0,1.0,0.0,0.0
172,5,38910.60092519091,107258.2734374408,17851.239669421488,18924.66529121485,249.4051737202849,555762.0,1.0,0.0,0.0
173,6,2157.59213987549,97329.32103408618,5950.413223140496,6136.131320089595,248.45120453982628,557120.0,1.0,0.0,0.0
174,7,1705.7060607903045,86335.84403732276,6148.760330578512,6550.422726975232,247.30887833591171,558427.0,1.0,0.0,0.0
175,8,7461.53664700007,80188.54912991349,6148.760330578512,7460.071223830829,246.61587332430463,559776.0,1.0,0.0,0.0
176,9,2117.975885254963,69669.31182520991,5950.413223140496,6686.799966818059,245.3347807837761,561079.0,1.0,0.0,0.0
177,10,39649.105028189515,98782.2323660948,3689.256198347107,6846.92828895751,248.59511414085725,562360.0,1.0,0.0,0.0
178,11,19855.892300112217,108201.8087893645,3966.9421487603295,6469.373728082188,249.49243307031952,563710.0,1.0,0.0,0.0
179,12,69178.83751442384,109051.32213706544,61487.603305785095,6841.720860937969,249.57099714575654,565023.0,1.0,0.0,0.0
180,1,109509.96819749924,149744.31930350242,61487.603305785095,7329.367725277503,252.9144420234056,566304.0,1.0,0.0,0.0
181,2,168832.85523048893,207774.75540568808,103140.4958677686,7661.923260534878,256.92558307320115,567689.0,1.0,0.0,0.0
182,3,3474.218683864567,142230.31463898017,61487.603305785095,7531.056144787699,252.3425129120856,569031.0,1.0,0.0,0.0
183,4,17698.455905768024,107227.06776474087,45619.8347107438,7081.868069263588,249.4022877799631,570358.0,1.0,0.0,0.0
184,5,14193.09040705732,108648.12070294456,6148.760330578512,6623.2771382751425,249.53370856403816,571716.0,1.0,0.0,0.0
185,6,-48.22381651884375,96353.42143425775,5950.413223140496,6296.0622290274605,248.3545425350889,573037.0,1.0,0.0,0.0
186,7,28087.600923872404,110476.28104464928,6148.760330578512,7815.980982902345,249.7027791588504,574418.0,1.0,0.0,0.0
187,8,-606.6526998332838,94727.39628873473,6148.760330578512,8993.471725502759,248.19348616172093,575748.0,1.0,0.0,0.0
188,9,42895.78315584875,119251.88009475473,11900.826446280991,6470.472903547779,250.4784459075426,577067.0,1.0,0.0,0.0
189,10,9042.58411330442,107505.49285750944,13884.297520661159,6904.673829888498,249.42803688685,578369.0,1.0,0.0,0.0
190,11,33929.00472273516,107142.9225800675,27768.595041322318,6522.9799588547985,249.39450592620616,579646.0,1.0,0.0,0.0
191,12,26386.746879798164,106068.58237201594,19834.710743801654,7626.376344048036,249.2951495766222,581013.0,1.0,0.0,0.0
192,1,25762.77562422336,107410.06343498453,17851.23966942149,6570.0548918332515,249.4192114524169,582289.0,1.0,0.0,0.0
193,2,55243.515782233066,107053.6565453394,49586.77685950412,6013.145812374133,249.38625048971969,583566.0,1.0,0.0,0.0
194,3,78122.25174704519,116556.60884457114,61487.603305785095,7131.6961420285925,250.24625506931181,584936.0,1.0,0.0,0.0
195,4,25503.75082637664,107702.08341061015,27768.595041322318,6589.681219015315,249.44621783137055,586263.0,1.0,0.0,0.0
196,5,3351.869629814589,97274.43628692489,6148.760330578512,7630.756422921341,248.44576825345928,587602.0,1.0,0.0,0.0
197,6,28903.14558222459,113353.80738460881,5950.413223140496,6873.361261400171,249.96889645654386,588996.0,1.0,0.0,0.0
198,7,-1079.1192852851614,98382.68024210504,6148.760330578512,7743.247526640081,248.55553885123862,590359.0,1.0,0.0,0.0
199,8,5094.887142620765,90634.12661154637,6148.760330578512,6694.680442600924,247.77086055584118,591678.0,1.0,0.0,0.0
200,9,1821.4787482746785,80191.52915085445,5950.413223140496,6313.662985826095,246.61622387376244,593040.0,1.0,0.0,0.0
201,10,112682.01549578851,123582.41755356935,61487.603305785095,7803.523787288832,250.85151081612415,594328.0,1.0,0.0,0.0
202,11,30637.79401695353,107613.8487686992,39669.42148760331,6936.94131422044,249.43805777940437,595651.0,1.0,0.0,0.0
203,12,69326.89328057322,107911.7948682621,61487.603305785095,7541.34387522537,249.46561221384098,596975.0,1.0,0.0,0.0
204,1,29184.646210512285,104676.49429808908,23801.652892561993,8618.29388812332,249.16640750005448,598399.0,1.0,0.0,0.0
205,2,159145.98486441528,180756.4258525989,75371.90082644628,7694.152483459266,255.13626615949826,599722.0,1.0,0.0,0.0
206,3,2364.020458314319,114747.47386140256,61487.603305785095,6885.36914372578,250.0904026414027,601098.0,1.0,0.0,0.0
207,4,13440.280044833911,106065.35034914332,13884.297520661159,8238.106036431953,249.2948506750341,602434.0,1.0,0.0,0.0
208,5,4645.438445448986,95672.01719989596,6148.760330578512,8890.011264117837,248.2870500396093,603771.0,1.0,0.0,0.0
209,6,22.327564812687697,82357.99789128,5950.413223140496,7385.933650288142,246.87107256690743,605134.0,1.0,0.0,0.0
210,7,70074.38011262838,120955.6315484308,23801.652892561982,7675.093562915623,250.62521980947886,606461.0,1.0,0.0,0.0
211,8,-208.97461474141937,106066.2052354487,6148.760330578512,8531.691367662153,249.29492973600748,607786.0,1.0,0.0,0.0
212,9,3524.518343065829,95922.05826841654,5950.413223140496,7718.252086957494,248.31181638950244,609190.0,1.0,0.0,0.0
213,10,5197.669443969726,89892.0317765527,3689.256198347107,7538.4397374864775,247.69109971803016,610563.0,1.0,0.0,0.0
214,11,41635.69038152826,105992.71795803061,17851.23966942149,7683.764530628831,249.28813353907617,611817.0,1.0,0.0,0.0
215,12,44242.67086313538,107558.2307112423,35702.47933884298,6974.678771080762,249.4329141506744,613090.0,1.0,0.0,0.0
216,1,30091.996863172462,107203.21426926042,23801.652892561993,6645.360412592296,249.40008177834648,614443.0,1.0,0.0,0.0
217,2,23618.31598423326,106102.86264952543,17851.23966942149,6867.4279345467685,249.29831986030942,615806.0,1.0,0.0,0.0
218,3,33111.813262641976,102974.26476044543,25785.12396694216,10455.2871847798,249.00898314625408,617201.0,1.0,0.0,0.0
