index,dates,shiftFactor,population,storage,storage_perc,storage_ts,storage_trend,storage_stl,storage_fac,storage_segment,inflow_ts,inflow_trend,inflow_stl,inflow_fac,inflow_segment,outflow_ts,outflow_trend,outflow_stl,outflow_fac,outflow_segment,supply_ts,supply_trend,supply_stl,supply_fac,supply_segment,elevation_ts,elevation_trend,elevation_stl,elevation_fac,elevation_segment
49,1,0.96,3.91326,163396.579020743,171.114620046095,171.114620046095,101.815943752246,103.403597578537,segment1,64.0388224489247,77139.7732334867,51632.6251445757,51658.9411715482,segment1,36693.8819231974,69421.4876033058,45231.4049586777,46824.3479819073,segment1,30602.2170305977,5190.93206722316,5623.60805853979,5644.19769281214,segment1,5789.80143560131,2.41479940249411,-0.0450654295741041,-0.0131186881382355,segment1,-1.59296808561405
50,2,0.959166666666667,3.92618,120652.253951657,76.1272310036828,76.1272310036828,103.806825470616,100.231011537513,segment1,64.0388224489247,17693.3996278759,52989.7466707001,50778.2743275333,segment1,36693.8819231974,55537.1900826446,46462.8099173553,46478.8022286398,segment1,30602.2170305977,4900.53461431687,5631.03998007841,5613.69583041914,segment1,5789.80143560131,-0.90091540733485,0.0369770270263068,-0.144012702678813,segment1,-1.59296808561405
51,3,0.958333333333333,3.93927,114515.56664369,62.4901480970886,62.4901480970886,104.243316220529,97.0584254964885,segment1,64.0388224489247,61622.9976200672,52284.1974483242,49897.6074835184,segment1,36693.8819231974,61487.6033057851,46462.8099173553,46133.2564753723,segment1,30602.2170305977,6272.08162224968,5624.96669350797,5583.19396802614,segment1,5789.80143560131,-1.42957558203912,0.0551888379187784,-0.27490671721939,segment1,-1.59296808561405
52,4,0.9575,3.95255,123819.582730183,83.1657394004059,83.1657394004059,99.0973753864963,90.7483420837386,segment1,64.0388224489247,74278.5363117562,48472.7343735188,46537.1558088859,segment1,36693.8819231974,59504.1322314049,45223.1404958677,43439.3198101188,segment1,30602.2170305977,5470.38799385869,5565.26725296583,5556.84640066072,segment1,5789.80143560131,-0.628058000501142,-0.124676840436815,-0.483918614863782,segment1,-1.59296808561405
53,5,0.956666666666667,3.96557,121249.312949074,77.4540287757211,77.4540287757211,88.2186468165286,84.4382586709888,segment1,64.0388224489247,51084.489275228,42279.8443030914,43176.7041342535,segment1,36693.8819231974,47603.305785124,41669.4214876033,40745.3831448653,segment1,30602.2170305977,6051.45327121218,5505.85067197371,5530.4988332953,segment1,5789.80143560131,-0.84948027661315,-0.512082636085039,-0.692930512508173,segment1,-1.59296808561405
54,6,0.955833333333333,3.97912,112563.899365705,58.1531097015668,58.1531097015668,78.0985740546971,79.8288846353619,segment1,64.0388224489247,2150.38092199945,37696.4307241865,40694.4394439052,segment1,36693.8819231974,5950.4132231405,36710.7438016529,37398.6605305223,segment1,30602.2170305977,4885.38128222838,5539.71966535792,5529.40173755096,segment1,5789.80143560131,-1.60415524223572,-0.875831103308228,-0.823638851076632,segment1,-1.59296808561405
55,7,0.955,3.99213,120708.700543211,76.2526678738013,76.2526678738013,68.2547868675072,75.2195105997351,segment1,64.0388224489247,51781.2265149673,33300.8696437836,38212.1747535568,segment1,36693.8819231974,35702.479338843,32165.2892561983,34051.9379161794,segment1,30602.2170305977,7933.94599861878,5565.28462182081,5528.30464180663,segment1,5789.80143560131,-0.896052675464318,-1.23069886112896,-0.954347189645091,segment1,-1.59296808561405
56,8,0.954166666666667,4.00504,115633.244748476,64.973877218835,64.973877218835,69.5906841828244,76.4299068727975,segment1,64.0388224489247,6444.42703471193,37526.0374966266,37709.0824875878,segment1,36693.8819231974,6148.76033057851,31338.8429752066,32369.5383356623,segment1,30602.2170305977,5371.12249886827,5586.04072952726,5543.26623468032,segment1,5789.80143560131,-1.3332904248384,-1.19783903901542,-0.898965841242291,segment1,-1.59296808561405
57,9,0.953333333333333,4.018,112373.451837528,57.7298929722836,57.7298929722836,79.5170184635767,77.6403031458599,segment1,64.0388224489247,7741.9093804335,42447.389278065,37205.9902216187,segment1,36693.8819231974,5950.4132231405,32413.2231404959,30687.1387551453,segment1,30602.2170305977,5051.2890682411,5567.31571123073,5558.22782755401,segment1,5789.80143560131,-1.62176807199413,-0.855858953222178,-0.84358449283949,segment1,-1.59296808561405
58,10,0.9525,4.0314,109471.840380254,51.2818675116754,51.2818675116754,81.7165116024555,77.8760969695943,segment1,64.0388224489247,49741.1929171107,38516.0360597905,35654.411969886,segment1,36693.8819231974,47603.305785124,32000,29830.4376109331,segment1,30602.2170305977,5039.49858926058,5526.26414729506,5556.97649242475,segment1,5789.80143560131,-1.89011279198613,-0.781584578578934,-0.865115185427574,segment1,-1.59296808561405
59,11,0.951666666666667,4.04412,109355.247651657,51.0227725592389,51.0227725592389,78.4652538882388,78.1118907933288,segment1,64.0388224489247,14888.2780527367,33900.3105912123,34102.8337181532,segment1,36693.8819231974,9917.35537190083,29859.5041322314,28973.736466721,segment1,30602.2170305977,5087.51540943232,5503.87243037845,5555.72515729549,segment1,5789.80143560131,-1.90089543589593,-0.912617289395216,-0.886645878015659,segment1,-1.59296808561405
60,12,0.950833333333333,4.0571,108596.014688589,49.3355881968651,49.3355881968651,74.3581672888042,73.1427040327605,segment1,64.0388224489247,8745.05958213389,31815.8182500525,32126.9367462859,segment1,36693.8819231974,3966.94214876033,28132.2314049587,28169.1100982005,segment1,30602.2170305977,5537.35039644175,5531.77581483944,5543.590599116,segment1,5789.80143560131,-1.97111026647653,-1.08744030661087,-1.14184665499146,segment1,-1.59296808561405
61,1,0.95,4.06997,109356.888168287,51.0264181517495,51.0264181517495,68.0510501920566,68.1735172721923,segment1,64.0388224489247,29737.3037392791,29559.2765187746,30151.0397744185,segment1,36693.8819231974,23801.652892562,26900.826446281,27364.48372968,segment1,30602.2170305977,5174.77736701917,5496.65276603006,5531.45604093651,segment1,5789.80143560131,-1.90074371883037,-1.36895578976999,-1.39704743196727,segment1,-1.59296808561405
62,2,0.949166666666667,4.08256,189119.635809539,228.276968465642,228.276968465642,59.587358875748,60.0580221036311,segment1,64.0388224489247,166499.897590314,27337.5780786511,28762.9447939147,segment1,36693.8819231974,81322.3140495868,25669.4214876033,26545.5271894942,segment1,30602.2170305977,5414.83589947559,5476.81768338677,5539.09408809157,segment1,5789.80143560131,4.20326344471451,-1.76125721483881,-1.80629791914011,segment1,-1.59296808561405
