index,dates,observedInflow,storage,outflow,totalWaterSupply,elevation,population,shiftFactor
184,5,111.15275762717276,94657.94970480623,6148.760330578512,6463.73247934474,248.1866075381147,571163.0,0.9693333333333334
185,6,982.0034757990817,83464.49831848919,5950.413223140496,6225.041638975623,247.0002642216777,572491.0,0.9691666666666666
186,7,1333.9673949328212,72111.02992448224,6148.760330578512,6538.675458361264,245.6372207197034,573855.0,0.9690000000000001
187,8,-734.6790657431404,57412.45011553892,6148.760330578512,7815.140412621661,243.61461255824048,575238.0,0.9688333333333332
188,9,2622.432056293485,47619.98807629279,5950.413223140496,6464.480872399132,242.0122532895817,576581.0,0.9686666666666668
189,10,5225.186431960835,42677.85644350908,3689.256198347107,6478.061866397429,241.09392678018773,577919.0,0.9685
190,11,12025.704143126326,43925.32668784644,3570.2479338842977,7207.985964904677,241.32601426750628,579236.0,0.9683333333333334
191,12,65542.92719470184,98373.44710866264,3689.256198347107,7405.550575538527,248.554624317419,580586.0,0.9681666666666666
192,1,81842.57179649372,110652.75234776588,61487.603305785095,8075.663251605551,249.7190994495298,581894.0,0.968
193,2,54793.930533025785,105521.48200978986,51570.247933884275,8354.952937117638,249.24455303891517,583218.0,0.9678333333333332
194,3,98494.06461582103,134113.3080964037,61487.603305785095,8414.63522342239,251.70909969348082,584490.0,0.9676666666666668
195,4,46591.79290240876,114000.86293505187,59504.132231404925,7200.105832355818,250.02608398820226,585798.0,0.9675
196,5,3546.423432701154,104024.67898130887,6148.760330578512,7373.8470558656445,249.10612679009608,587102.0,0.9673333333333334
197,6,1.0453456843411175,91565.34206201854,5950.413223140496,6509.969041834198,247.87094820099082,588417.0,0.9671666666666668
198,7,8549.968997806993,84449.05548102477,6148.760330578512,9517.495248222222,247.10608506889776,589783.0,0.9670000000000001
199,8,6142.218965077186,75407.23190304825,6148.760330578512,9035.282212475217,246.05343158487804,591101.0,0.9668333333333332
200,9,-109.90587866193573,62429.04110143599,5950.413223140496,6917.871699809808,244.35229599403786,592527.0,0.9666666666666668
201,10,42828.90326282378,91879.19575850117,3689.256198347107,9689.492407411508,247.90468140138665,593893.0,0.9665
202,11,23898.67000791043,107027.57510868297,1983.4710743801647,6766.819583348443,249.38383844526797,595264.0,0.9663333333333334
203,12,72615.43710870229,111604.95781680947,61487.603305785095,6550.4510947908775,249.80716062302872,596598.0,0.9661666666666666
204,1,80825.0377484526,122560.02169307525,61487.603305785095,8382.370566401993,250.7634339845861,597953.0,0.966
205,2,34783.609628166385,106118.71803944306,43636.36363636363,7588.549645435027,249.2997861869456,599276.0,0.9658333333333332
206,3,20014.0515504019,105666.74105878711,11900.826446280991,8565.202084776856,249.2579867806147,600583.0,0.9656666666666668
207,4,89855.27959658814,129357.39657945631,59504.132231404925,6660.491844514278,251.32583661692772,601927.0,0.9655
208,5,80694.40096780058,119195.64635764902,83305.78512396694,7550.366065640926,250.4736015125473,603253.0,0.9653333333333334
