Flow 	 Preci 	 Evatr
1212.1773327038482	2.6783904087730517	4.17484643288176
2118.170123794236	2.785208277361082	1.6804404952197745
2259.31369372671	6.156918194354383	2.9988884879293995
63.01457541972833	2.5996405305257704	1.101799942977956
210.56779417850714	4.268147411941267	1.8030154123447402
114.26764867776231	4.674639170253839	6.767500272529646
29.640060605777943	5.006200973600952	6.039176251668528
220.57279336381288	5.093153755864179	5.895634599819223
2737.3180074104257	2.05100326582441	3.6530005538195107
13.0348105291263	1.9202427598088663	-0.0407896052454165
553.8186572366933	1.9472762191488415	0.8894500288661312
2406.883056285104	3.8427320208609155	3.178612471266767
481.29417192638925	3.764211448696302	0.6800589469337956
514.8107498781176	4.467406169944777	1.9241672933320586
516.6721175572193	4.131627499382454	2.9874887359806683
1719.7521041492325	2.277459062499319	0.7728745127524375
228.0256012850365	4.4679156948370204	2.789406912162819
20.25833032106877	2.6861064850216807	0.6012052704800588
201.70305808785622	2.8475370179632082	3.267571187276463
-46.55323159339634	4.162476152663664	6.047603395165723
4801.317543859144	3.9483704554031456	1.8066557643027803
28.08469624355294	3.0967002987052625	2.6517128479824286
902.5754381914293	2.7151701224511924	3.217218742145079
597.0384459315655	2.5280079680596677	4.66512709976236
441.07094032211324	4.898468401824027	3.045821417955177
599.2024666221572	2.019867557573419	2.41650224163536
1237.4098008407118	5.3467095992427005	4.662823207442249
1853.3689584722683	1.0841471658652793	3.2323198302871
133.33665542994885	3.1187794322080435	3.9450615236936235
144.12882465274214	2.332262695835723	2.7432363522024303
36.435291697079755	5.509764838187037	5.999770955286047
250.44080494719074	3.4710539299884426	5.369058220496832
-32.992058065307866	3.835762111214192	6.41833007048229
708.0099576450211	1.8312579648045846	3.3266743555502742
267.5726894216649	4.667165967066687	3.1169654204166766
4.086589639607057	3.235632626968697	3.814148614693656
91.24296993601118	2.2118469853441023	0.5081115367328953
302.8291003550461	1.9454612360678496	1.0733352698466443
913.7276310355807	6.360123798152599	2.401873931663561
1599.736233658644	4.4739278902335045	3.036121771835261
233.8459531777955	4.520408907930144	2.8619222138355704
181.7599108783522	3.647444758483435	2.246324448875321
265.52765293118773	5.956698418724546	1.1131758673460688
253.14404071904104	3.463124948506483	0.6282938990546064
2902.2770911491975	3.9704595352836733	6.095973957695023
115.33753297634007	2.901285204400003	2.2675367280407768
155.44726089419044	3.2414960075818344	0.8169151836059146
1105.1310306177024	2.7283507354768717	2.997300121051754
1635.4270383044366	4.655999661905478	0.08936168114491681
1194.5054307606588	3.1346448282261905	3.199456309895392
882.2828318402084	3.0053903917226994	2.782610122142317
2.9492392928615576	1.0449455212670482	1.9373266340190427
361.6518418542375	3.5624405806262893	1.6561771316182845
47.52659620444645	2.6762424309526818	2.6827527673444207
286.3002866145869	3.234518770717731	2.2231197779963034
146.77033022953034	2.2325542762350494	2.507526911672273
282.6598153970382	4.946996732092207	2.6581766778258373
154.46421639987744	2.4435820123236627	2.0098708712091313
498.4879215026559	2.1180091103563963	3.909344716141
702.6636329788614	3.4228553270131767	3.2630609113978406
103.54730227003766	3.7460485374876535	3.896965919865653
322.9259602675987	1.9656828092882437	3.6663235653102957
1081.2059758563657	4.110561891720743	2.674692923172921
1773.6347355717694	1.110301679718114	0.7162541975160509
160.3760185169055	4.712993515608831	1.5597561359971126
1705.6550529037042	1.9481815908923397	2.7445287860367555
-0.1762927588729687	3.2240880182154177	1.3380419622817903
445.216155874033	5.814988859028314	1.9805282287416128
-26.897292301819743	4.79081860402212	0.9078700394171687
69.66092772165157	4.190499392117263	2.814773770086093
85.12195493004822	1.8397159268956729	2.856064152786479
1166.1926539063732	1.947121978183405	1.4042720695302826
776.4967446215401	2.0617818361597613	2.404889341486007
621.2685226257012	3.4357375541312476	2.506590391712006
1702.8096167076785	7.136373828491946	3.001539006352277
2505.9242119190635	1.0864106591538822	1.0514424173548278
167.89879964614573	4.444411013100722	4.179998346215644
-1.7045080871386986	3.636859919521366	2.365764872149651
334.71838681763904	2.6226206368084464	4.738372591987779
438.52415692907675	3.5328991231585247	6.504855221481625
1696.320852931432	3.5753404602173475	0.7835091277662509
94.29528195480027	2.8989051288045986	1.6993959353197885
662.3790680627442	4.729672372466087	3.7431997311464964
