observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
102047.71774999998 10944.78746 3566.2790600000003 249.55 9161.647930000001 109959.58877198865 6148.760330578512  4722.981641115567  4722.981641115567 249.65499479996197  5.2156601552929443E8  4.9710329445096886E8  71639.0  190521.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
83839.46314999998 11722.307700000001 3391.7336999999998 247.69 -3094.2132 97283.38348762346 5950.413223140496  3631.5788612246993  3631.5788612246993 248.4466544658898  5.057065518240483E8  2.775651637588429E8  71840.0  191009.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
68897.98363999999 12666.43942 3750.74177 245.88 1475.70168 89817.29031887733 6148.760330578512  2793.0345181676075  2793.0345181676075 247.683066457317  5.2357302549508595E8  7.883849366129987E7  72040.0  191502.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
100810.03247 8362.309519999999 3320.3287800000003 249.43 43594.687130000006 120696.35253126115 5950.413223140496  6765.211694475719  6765.211694475719 250.60288357436778  5.2459745949124944E8  9.345472190933396E8  72240.0  192001.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
89087.72477 7616.5248 2856.1967999999997 248.26 -1249.5861 111083.52330673873 5950.413223140496  2412.829901381917  2412.829901381917 249.75893769598989  5.087170394779394E8  1.1690609229082236E7  72441.0  192527.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
73223.93171 10637.34961 2889.91579 246.43 -2336.5276599999997 102430.6947866305 3689.2561983471073  2627.044661761133  2627.044661761133 248.95649116349352  5.2674082767918366E8  3.986941479730939E7  72641.0  193045.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
69415.66931 5057.8485 2499.1722 245.95 3748.7583000000004 100109.36013258138 3570.2479338842977  2499.8450201648193  2499.8450201648193 248.72656498936027  5.107605847127122E8  2.8414791193913385E7  72842.0  193552.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
100712.84244 3566.2790600000003 2643.96551 249.42 37507.4177 111141.26669143337 23801.65289256199  2673.858248586016  2673.858248586016 249.76427787768736  5.2880905974841803E8  4.7898101965436526E7  73042.0  194050.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
137851.33471999998 78150.70147 2705.45308 252.52 117994.64683 158380.2053485882 65454.54545454542  5301.162718299974  5301.162718299974 253.5483465080421  5.2981645943389434E8  6.135569810500021E8  73242.0  194540.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
149625.21263999998 91580.77683999999 2610.24652 253.4 105964.90127999999 186352.1736452171 75371.90082644628  2621.032156924898  2621.032156924898 255.51563889120115  4.7950905181603837E8  8.580439244714393E7  73443.0  195062.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
117159.77567999996 169398.25535 2889.91579 250.88 139822.73418 210543.1737460143 113057.85123966941  2573.8828395336777  2573.8828395336777 257.100547623989  5.318819393454493E8  2.326217413024094E7  73643.0  195548.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
120730.02167999995 99371.84700000001 2737.1886 251.17 105679.2816 207280.66969400225 105123.96694214878  3817.818709863512  3817.818709863512 256.8935391201765  5.157753184784938E8  3.0766526340933603E8  73843.0  196078.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
