index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted
121,1,0.88,4.85202,46.630066012831,28112.1987345816,33269.9174405037,28.8190855954902,50.9885706594207,20728.5210150988,28592.485674169,7142.02176319428,7807.18966988462,-2.89703985124868,-2.09531772520085
122,2,0.879,4.86493,48.6907530272218,28314.1160877744,33269.9174405037,29.5857828171807,50.9885706594207,20828.2098594021,28592.485674169,7199.43199148604,7807.1896698846,-2.8739390758576,-2.09531772520085
123,3,0.878,4.87841,49.0149783930461,28516.0334409671,33269.9174405037,30.3524800388712,50.9885706594207,20927.8987037054,28592.485674169,7256.84221977781,7807.1896698846,-2.85083830046652,-2.09531772520085
124,4,0.877,4.89172,80.6769699796589,28575.4444144943,33269.9174405037,31.899771013536,50.9885706594207,20710.7331859269,28592.485674169,7250.53964428373,7807.1896698846,-2.78134408498155,-2.09531772520085
125,5,0.876,4.9052,37.5824920857783,28634.8553880214,33269.9174405037,33.4470619882008,50.9885706594207,20493.5676681484,28592.485674169,7244.23706878965,7807.1896698846,-2.71184986949659,-2.09531772520085
126,6,0.875,4.91863,36.9232609099057,31252.2685370483,33269.9174405037,39.863361658468,50.9885706594207,21684.95705147,28592.485674169,7240.04615720719,7807.1896698846,-2.46736775493318,-2.09531772520085
127,7,0.874,4.93189,19.856283092768,33869.6816860752,33269.9174405037,46.2796613287351,50.9885706594207,22876.3464347916,28592.485674169,7235.85524562473,7807.1896698846,-2.22288564036977,-2.09531772520085
128,8,0.873,4.94536,6.28948189953827,38174.9677456065,33269.9174405037,57.2853319186805,50.9885706594207,26668.1705493552,28592.485674169,7165.64499638813,7807.1896698846,-1.84236528688121,-2.09531772520085
129,9,0.872,4.95905,3.31987361831907,42480.2538051378,33269.9174405037,68.2910025086258,50.9885706594207,30459.9946639188,28592.485674169,7095.43474715152,7807.1896698846,-1.46184493339264,-2.09531772520085
130,10,0.871,4.97251,-12.6025364644766,44131.7385708624,33269.9174405037,74.5394163146995,50.9885706594207,33679.144290125,28592.485674169,6999.80647215746,7807.1896698846,-1.27319265138532,-2.09531772520085
131,11,0.87,4.98609,44.034827569775,45783.2233365869,33269.9174405037,80.7878301207732,50.9885706594207,36898.2939163312,28592.485674169,6904.17819716339,7807.1896698846,-1.08454036937801,-2.09531772520085
132,12,0.869,4.99946,45.6774663700084,46160.0472654577,33269.9174405037,81.5370017162954,50.9885706594207,38179.8350988793,28592.485674169,6988.5054807924,7807.1896698846,-1.0954339433059,-2.09531772520085
133,1,0.868,5.01283,223.613984779878,46536.8711943285,33269.9174405037,82.2861733118177,50.9885706594207,39461.3762814274,28592.485674169,7072.8327644214,7807.1896698846,-1.1063275172338,-2.09531772520085
134,2,0.867,5.02618,333.240921279482,47273.9814935307,33269.9174405037,82.7408139712426,50.9885706594207,39788.538693539,28592.485674169,7309.01003174982,7807.1896698846,-1.09838395800297,-2.09531772520085
