observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population inflow deficit
100712.84244 3566.2790600000003 2643.96551 249.42 37507.4177 111159.11027969848 23801.65289256199  2672.7365987076096  2672.7365987076096 249.76592807543685  5.2855664867736125E8  4.790859164137585E7  73042.0  193936.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
137851.33471999998 78150.70147 2705.45308 252.52 117994.64683 158398.10063933107 65454.54545454542  5301.111015822231  5301.111015822231 253.54965378328083  5.2958011193431836E8  6.137821771771239E8  73242.0  194436.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
149625.21263999998 91580.77683999999 2610.24652 253.4 105964.90127999999 186370.91961224008 75371.90082644628  2620.1814806447705  2620.1814806447705 255.51690980421967  4.792966148897087E8  8.58333525181543E7  73443.0  194957.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
117159.77567999996 169398.25535 2889.91579 250.88 139822.73418 210562.69986362962 113057.85123966941  2573.1026889413306  2573.1026889413306 257.10176359843257  5.3169366637645674E8  2.3282181472562432E7  73643.0  195466.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
120730.02167999995 99371.84700000001 2737.1886 251.17 105679.2816 205317.0189397339 107107.43801652893  3817.5245073670103  3817.5245073670103 256.7661864543572  5.155718007269398E8  3.078053265305503E8  73843.0  195983.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
118024.56859999994 18261.80829 3197.35364 250.95 18753.70885 126024.50145566858 95206.61157024793  2839.6147638174148  2839.6147638174148 251.05724969422747  5.3382475329514146E8  7.863335725217691E7  74044.0  196507.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
112431.18319999994 8449.5822 3272.7255 250.47 6128.9223 123595.5379746625 5950.413223140496  2607.4725578655716  2607.4725578655716 250.85264110739683  5.1763367623060507E8  4.475518596377604E7  74244.0  197024.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
100195.15676999993 9960.98634 4181.154759999999 249.37 1906.1146700000002 113821.1462755062 6148.760330578512  5531.746038577778  5531.746038577778 250.01060185006082  5.359414471730319E8  6.571650157125914E8  74444.0  197537.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
82794.17445999992 11436.688020000001 3812.2293400000003 247.56 -2152.0649500000004 101771.01279320974 6148.760330578512  3749.3082017179377  3749.3082017179377 248.89115023704534  5.369875346800165E8  2.7167645958594656E8  74645.0  198047.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
82318.14165999992 8925.615000000002 3094.2132 247.51 11543.7954 104422.51062737174 5950.413223140496  2941.8843426975095  2941.8843426975095 249.14291876698155  5.206531497046084E8  1.1386282370649232E8  74845.0  198547.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
