observedStorage observedOutflow observedWaterSupply elevationEnd observedInflow storage outflow  totalWaterSupply  waterSupply elevation  totalIndoor  totalOutdoor  numOfHouseholds  population shiftFactor inflow deficit
3108416.6631900487 0.0 0.0 0.0 166613.55364931567 124529.03438675888 136859.5041322314  6744.696503440921  6744.696503440921 250.93305947508262  1.1425323290043051E9  3.121875609431018E8  163743.0  432878.0 0.9341666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
3113684.299864182 0.0 0.0 0.0 5267.636674132909 118017.79370977268 5950.413223140496  5828.464127978616  5828.464127978616 250.3721324698288  1.1084326000295477E9  1.4867106512245908E8  164250.0  434268.0 0.9333333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
3121947.6207174407 0.0 0.0 0.0 8263.320853259069 108662.97377714203 11900.826446280993  5717.3143396087025  5717.3143396087025 249.5350821952411  1.1481935189946463E9  8.493696844487527E7  164758.0  435640.0 0.9325 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
3135247.4469017223 0.0 0.0 0.0 13299.826184281768 108418.21073295524 7933.884297520661  5610.704930947892  5610.704930947892 249.51244619744338  1.113761517161202E9  9.637507764532968E7  165265.0  436953.0 0.9316666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
3184118.838930033 0.0 0.0 0.0 48871.3920283106 107994.2477471843 43636.36363636363  5658.991377717968  5658.991377717968 249.47323756100843  1.1536735929911747E9  6.68775926713189E7  165773.0  438308.0 0.9308333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
3213062.928949649 0.0 0.0 0.0 28944.09001961564 106776.22705418585 23801.65289256199  6360.45782005208  6360.45782005208 249.3605934573371  1.1562975374512267E9  2.1554840035950348E8  166280.0  439593.0 0.9299999999999999 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
3275717.93823432 0.0 0.0 0.0 62655.00928467077 107307.29720745143 55537.19008264461  6586.7490487607265  6586.7490487607265 249.40970750092032  1.046852097231537E9  3.73801129557357E8  166788.0  440915.0 0.9291666666666667 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
3295177.705777455 0.0 0.0 0.0 19459.767543135236 105851.06334016127 13884.297520661159  7031.703889764203  7031.703889764203 249.27503313975413  1.161677063483755E9  3.5494559010182923E8  167295.0  442212.0 0.9283333333333333 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
3307076.8776311474 0.0 0.0 0.0 11899.17185369248 108057.39844643945 3966.9421487603304  5725.894598653955  5725.894598653955 249.4790778180375  1.126651829827383E9  1.0832927809306072E8  167803.0  443446.0 0.9275 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
3368480.4351074477 0.0 0.0 0.0 61403.557476300375 121569.06089702941 41652.89256198347  6239.002463726939  6239.002463726939 250.6780652047751  1.1669439638128471E9  1.787060551008563E8  168310.0  444781.0 0.9266666666666666 0.0 0.0 0.0 0.0 0 0.0 0.0 0.0
